date,reportlink,city,state,country,shape,duration,description,post_date,images
7/22/23 15:44,https://nuforc.org/webreports/reports/176/S176926.html,NY,NY,USA,Cube,Several minutes,Strange square object with smaller one near by,7/29/23,Yes
7/20/23 19:18,https://nuforc.org/webreports/reports/177/S177037.html,Salem,OR,USA,Cube,10 seconds,Saw flying rectangular metallic object then it vanished into thin air,7/29/23,
7/20/23 18:53,https://nuforc.org/webreports/reports/177/S177102.html,Gloucester,MA,USA,Cube,2 minutes,"ItÂ’s changing from cube to cylinder and then went into the ocean , I have video",7/29/23,Yes
7/7/23 07:50,https://nuforc.org/webreports/reports/176/S176830.html,Oakwood,IL,USA,Cube,1 min,Double cube,7/29/23,Yes
7/1/23 03:30,https://nuforc.org/webreports/reports/176/S176539.html,Approx. 2.5 NM off coast of Sloop Point,NJ,USA,Cube,1 minute,Pulled alongside my boat. I was afraid I was going to hit it. Stayed about 20 feet and hovered just off surface.,7/10/23,
6/29/23 04:00,https://nuforc.org/webreports/reports/176/S176522.html,Mankato,MN,USA,Cube,10sec,Metallic rotating/reflective object,7/10/23,
6/22/23 20:00,https://nuforc.org/webreports/reports/176/S176416.html,Sandy,UT,USA,Cube,30 minutes or so,"There where two black things high up. One looked on fire, other one had glare but wouldn't say lights. Moved slowly",7/10/23,
5/30/23 21:52,https://nuforc.org/webreports/reports/175/S175988.html,broken arrow,OK,USA,Cube,only like 2 mins,small pink cube floating quickly across sky,7/10/23,
5/29/23 00:18,https://nuforc.org/webreports/reports/175/S175926.html,Montrose,MN,USA,Cube,20 seconds,It was blue white red.  It went by fast and it was unique,7/10/23,
5/27/23 23:10,https://nuforc.org/webreports/reports/175/S175982.html,Carter lake,IA,USA,Cube,5 minutes,I saw a UFO and bc watched it go through a slit in the sky.,7/10/23,
5/17/23 23:00,https://nuforc.org/webreports/reports/175/S175813.html,Tadepalligudem,Andhra Pradesh,India,Cube,5 minutes,"We are watching the night sky suddenly there is a object which is very tiny to naked eye ,i thought it is a aeroplane but it is not.",5/19/23,Yes
5/16/23 21:20,https://nuforc.org/webreports/reports/175/S175810.html,Lawndale,NC,USA,Cube,4-6 Seconds,Cube Shape seen during lightning flash,5/19/23,
5/7/23 00:00,https://nuforc.org/webreports/reports/175/S175700.html,"Bentley, Doncaster.",Doncaster,United Kingdom,Cube,Approximately two hours,Seen from home back door in sky,5/19/23,Yes
4/13/23 21:28,https://nuforc.org/webreports/reports/175/S175348.html,Hersey,MI,USA,Cube,60 seconds to 90 seconds.,when I saw the square object I stepped onto my porch. there was silence. When I returned after grabbing my phone the speed escalated,5/19/23,
4/9/23 17:05,https://nuforc.org/webreports/reports/175/S175283.html,Clarendon Hills,IL,USA,Cube,2 minutes,Multi sided mirror object floating low,5/19/23,
4/7/23 21:55,https://nuforc.org/webreports/reports/175/S175236.html,Bedford,VA,USA,Cube,2 min,Fast moving orbs of changing light appearing and disappearing in front of cars,4/9/23,
3/31/23 23:00,https://nuforc.org/webreports/reports/176/S176508.html,Quasky,IA,USA,Cube,Approximately 1 minute,Craft soundlessly and steadily crossed over a still and moonlit night.,7/10/23,
3/5/23 14:07,https://nuforc.org/webreports/reports/174/S174889.html,Glenhaven,,,Cube,Wolfgang Johnny,Like a clear beach ball with the cube in it,3/6/23,
8/22/21 01:18,https://nuforc.org/webreports/reports/175/S175331.html,Buffalo,NY,USA,Cube,1:18am-1:30am,"A bright, white holographic cube with wings emerged from a perforation in the sky",5/19/23,
12/18/20 16:24,https://nuforc.org/webreports/reports/176/S176504.html,East Brookfield,MA,USA,Cube,3 minutes,"Large, bright, stationary light at dusk",7/10/23,Yes
